Participant,Profit Rank,Model Accuracy Rank,Market Share,RMSE,Average Profit
Insolvent,46,1,0.029,499.168,-43892.529
  NetSim,8,2,0.07,499.431,11244.524
  WorldExperts,1,3,0.161,499.442,185919.311
 solve_fx,35,4,0.028,499.505,-19877.9
 michael_bordeleau,4,5,0.111,499.511,66778.702
  MCAF-VLC,51,6,0.048,499.535,-44959.558
 jocelyn,5,7,0.168,499.544,52332.963
  Z2GK,99,8,0.16,499.546,-190649.283
  solvent,55,9,0.108,499.553,-57144.831
  KickX,60,10,0.077,499.561,-65484.195
  NoSePol,56,11,0.133,499.57,-60776.078
  Onboarders,129,12,0.26,499.58,-372896.182
  Mind_builders,101,13,0.176,499.581,-193371.778
 gciam,33,14,0.144,499.583,-15973.928
 Calico,246,15,1,499.598,-10084216.14
 edwin_graham,3,16,0.162,499.606,87058.322
 callum_hughes,84,17,0.106,499.616,-136458.486
 Tommy,52,18,0.037,499.62,-53155.727
  Val,74,19,0.142,499.624,-103888.506
 JeanRodriguez,119,20,0.424,499.628,-312538.383
 jeremiedb,14,21,0,499.634,8.803
 aymondebroglie,126,22,0.27,499.635,-367527.774
 rostar,83,23,0.081,499.638,-128221.21
 demarsylvain,37,24,0.097,499.652,-24219.587
 clembrule,80,24,0.17,499.652,-111649.668
  Donnelbergs,96,26,0.219,499.654,-176980.22
  ADS,107,27,0.405,499.655,-223849.191
 tk230147,7,28,0.027,499.666,12730.821
 zeming_yu,41,28,0.064,499.666,-33550.271
 simon_coulombe,43,28,0.127,499.666,-39597.509
  STORM_Troopers,148,31,0.365,499.668,-563800.297
 alexnguyen9,183,31,0.711,499.668,-890218.623
 alexey_khachiyants,64,33,0.057,499.671,-72965.468
 tom_snowdon,39,34,0.168,499.672,-27930.277
 igor_markov,65,35,0.059,499.673,-74666.223
 wandrille_guesdon,146,36,0.448,499.675,-536897.993
 can_baysal,167,36,0.568,499.675,-734958.839
 glep,2,38,0.19,499.681,90108.871
 xjfeng1218,132,39,0.442,499.682,-385854.498
 michael_mayer,98,40,0.147,499.684,-189465.066
 LH_2021,159,41,0.641,499.69,-656386.595
  Grape_Century,10,43,0.006,499.707,1453.249
 bor_harej,45,44,0.032,499.708,-41830.845
 etnemelc,54,44,0.036,499.708,-53699.566
 majestic-kernel,9,46,0.001,499.71,5803.388
  AllStarz623,18,46,0,499.71,-193.94
  Pepperoni,30,48,0.089,499.711,-9152.38
  UncleTom,44,48,0.048,499.711,-40051.801
  BbB,131,48,0.253,499.711,-378705.333
 yc,68,51,0.081,499.714,-84081.167
 guillaume_bs,6,52,0.278,499.715,22756.903
 camillem,81,53,0.075,499.717,-126874.665
 jmmb_leoni,134,54,0.245,499.718,-409193.312
 dmitri,15,55,0.001,499.719,-33.749
 LorenzMeinl,112,56,0.183,499.723,-258942.987
  Made_with_accuracy,130,56,0.306,499.723,-373093.032
  A_Team,127,58,0.315,499.728,-371011.554
 arun_k,17,60,0,499.73,-168.406
 pzahedi,82,60,0.072,499.73,-128130.99
 actuarygrape,122,62,0.421,499.733,-334986.086
 nigel_carpenter,79,63,0.184,499.735,-109032.674
 huan_vo,192,64,0.632,499.737,-1003484.195
 Sean.zhang,218,65,0.305,499.74,-1567005.336
  MercuryGoal,67,66,0.132,499.744,-80996.366
 amine_mqadmi,115,67,0.142,499.748,-293588.258
 aymeric_b,88,68,0.089,499.749,-143290.137
 ahmed_b,164,69,0.449,499.763,-690414.265
 denis_vorotyntsev,158,70,0.532,499.765,-635457.296
 pedro_pereira,100,71,0.049,499.777,-192114.078
 Syrine_BA_W6,160,72,0.505,499.783,-670376.937
 domsullivan6,185,73,0.422,499.785,-907328.024
 rdeggau,244,73,0.835,499.785,-8149272.249
 vladshcherbina,73,75,0.075,499.787,-98723.664
 fra_huxley_bld_6_fl,151,75,0.312,499.787,-576193.158
 mathieu.jacob,213,75,0.555,499.787,-1500392.954
 gudvx,155,79,0.333,499.791,-606900.379
 fmk87,150,80,0.504,499.794,-574088.883
 shartmann,62,81,0.072,499.8,-67912.641
 belinda_trotta,193,82,0.464,499.804,-1006622.608
 istvan,58,83,0.035,499.807,-64943.504
 sam_kloese,154,84,0.471,499.818,-602323.417
 robert_stefanazzi,212,85,0.52,499.823,-1484408.564
 robin_quessard,69,86,0.113,499.827,-90018.229
 gabe_taylor,120,87,0.193,499.829,-316999.26
 estelle_lebar,49,88,0.008,499.833,-44461.917
  Quantee,145,88,0.439,499.833,-535226.16
